level_date,rows,median_abs_distance,mean_abs_distance,max_abs_distance,pct_within_1,pct_within_2,pct_within_3,pct_within_5,pct_within_10,dominant_anchor_family,prior_range_fraction_count,prior_hlc_count,box_internal_count,box_edge_count,full_anchor_sequence,full_family_sequence,full_side_sequence,focus_l4_l7_anchor_sequence,focus_l4_l7_family_sequence,focus_l4_l7_median_abs_distance,focus_l4_l7_pct_within_3,focus_l4_l7_pct_within_5,sequence_template_type,full_anchor_sequence_hash,full_family_sequence_hash,focus_l4_l7_anchor_sequence_hash,focus_l4_l7_family_sequence_hash,focus_family_template_key,focus_family_template_type,focus_family_template_score,focus_family_template_date_count
2025-10-15,10,0.39125,0.70875,2.3975,70.0,90.0,100.0,100.0,100.0,red_box_quarter,0,1,6,3,L1=green_box_quarter::green_box_2_75pct | L2=prior_hlc::previous_high | L3=green_box_quarter::green_box_2_25pct | L4=green_box_edge::green_edge_1 | L5=red_box_quarter::red_box_1_75pct | L6=red_box_edge::red_edge_1 | L7=red_box_quarter::red_box_2_25pct | L8=red_box_midline::red_mid_2 | L9=red_box_quarter::red_box_2_75pct | L10=red_box_edge::red_edge_2,L1=green_box_quarter | L2=prior_hlc | L3=green_box_quarter | L4=green_box_edge | L5=red_box_quarter | L6=red_box_edge | L7=red_box_quarter | L8=red_box_midline | L9=red_box_quarter | L10=red_box_edge,L1=green | L2=neutral | L3=green | L4=green | L5=red | L6=red | L7=red | L8=red | L9=red | L10=red,L4=green_box_edge::green_edge_1 | L5=red_box_quarter::red_box_1_75pct | L6=red_box_edge::red_edge_1 | L7=red_box_quarter::red_box_2_25pct,L4=green_box_edge | L5=red_box_quarter | L6=red_box_edge | L7=red_box_quarter,0.07875,100.0,100.0,BOX_INTERNAL_TEMPLATE,2264c656a6,41c40078ae,0623c9c37f,5bb44b69ed,,,,
2025-10-16,10,3.1,3.1415,5.7925,20.0,30.0,50.0,90.0,100.0,prior_hlc,2,2,5,1,L1=green_box_quarter::green_box_2_75pct | L2=green_box_midline::green_mid_2 | L3=prior_hlc::previous_high | L4=prior_range_fraction::prev_range_0.75 | L5=prior_hlc::previous_pivot_hlc3 | L6=red_box_quarter::red_box_1_75pct | L7=red_box_edge::red_edge_1 | L8=prior_range_fraction::prev_range_0.125 | L9=red_box_midline::red_mid_2 | L10=red_box_quarter::red_box_2_75pct,L1=green_box_quarter | L2=green_box_midline | L3=prior_hlc | L4=prior_range_fraction | L5=prior_hlc | L6=red_box_quarter | L7=red_box_edge | L8=prior_range_fraction | L9=red_box_midline | L10=red_box_quarter,L1=green | L2=green | L3=neutral | L4=neutral | L5=neutral | L6=red | L7=red | L8=neutral | L9=red | L10=red,L4=prior_range_fraction::prev_range_0.75 | L5=prior_hlc::previous_pivot_hlc3 | L6=red_box_quarter::red_box_1_75pct | L7=red_box_edge::red_edge_1,L4=prior_range_fraction | L5=prior_hlc | L6=red_box_quarter | L7=red_box_edge,1.195,100.0,100.0,BOX_INTERNAL_TEMPLATE,ab742b69b2,3b90305cef,7f9f408bd6,cd9afadd10,,,,
2025-10-17,11,3.4475,3.209886,6.61375,27.272727,27.272727,45.454545,81.818182,100.0,green_box_quarter,0,3,6,2,L1=green_box_quarter::green_box_2_75pct | L2=prior_hlc::previous_high | L3=green_box_midline::green_mid_2 | L4=green_box_quarter::green_box_2_25pct | L5=red_box_midline::red_mid_1 | L6=green_box_edge::green_edge_1 | L7=prior_hlc::previous_mid | L8=red_box_edge::red_edge_1 | L9=green_box_midline::green_mid_1 | L10=green_box_quarter::green_box_1_25pct | L11=prior_hlc::previous_low,L1=green_box_quarter | L2=prior_hlc | L3=green_box_midline | L4=green_box_quarter | L5=red_box_midline | L6=green_box_edge | L7=prior_hlc | L8=red_box_edge | L9=green_box_midline | L10=green_box_quarter | L11=prior_hlc,L1=green | L2=neutral | L3=green | L4=green | L5=red | L6=green | L7=neutral | L8=red | L9=green | L10=green | L11=neutral,L4=green_box_quarter::green_box_2_25pct | L5=red_box_midline::red_mid_1 | L6=green_box_edge::green_edge_1 | L7=prior_hlc::previous_mid,L4=green_box_quarter | L5=red_box_midline | L6=green_box_edge | L7=prior_hlc,3.365,50.0,100.0,BOX_INTERNAL_TEMPLATE,853695e5b3,a0dfb8e5ad,e39b2b2696,ba784b96c1,,,,
2025-10-20,10,4.454824,4.656125,9.97375,10.0,20.0,30.0,60.0,100.0,prior_range_fraction,4,2,3,1,L1=prior_range_fraction::prev_range_0.875 | L2=prior_range_fraction::prev_range_0.75 | L3=prior_range_fraction::prev_range_0.666667 | L4=prior_hlc::previous_mid | L5=prior_range_fraction::prev_range_0.333333 | L6=green_box_quarter::green_box_1_25pct | L7=prior_hlc::previous_low | L8=red_box_edge::red_edge_2 | L9=red_box_quarter::red_box_3_25pct | L10=red_box_midline::red_mid_3,L1=prior_range_fraction | L2=prior_range_fraction | L3=prior_range_fraction | L4=prior_hlc | L5=prior_range_fraction | L6=green_box_quarter | L7=prior_hlc | L8=red_box_edge | L9=red_box_quarter | L10=red_box_midline,L1=neutral | L2=neutral | L3=neutral | L4=neutral | L5=neutral | L6=green | L7=neutral | L8=red | L9=red | L10=red,L4=prior_hlc::previous_mid | L5=prior_range_fraction::prev_range_0.333333 | L6=green_box_quarter::green_box_1_25pct | L7=prior_hlc::previous_low,L4=prior_hlc | L5=prior_range_fraction | L6=green_box_quarter | L7=prior_hlc,3.0575,50.0,100.0,PRIOR_RANGE_FRACTION_TEMPLATE,88c089faa6,2a315b5709,911fe5abf0,c3cb6326b1,,,,
2025-10-21,13,4.09,5.211543,11.28,0.0,15.384615,46.153846,53.846154,84.615385,green_box_quarter,1,1,9,2,L1=green_box_quarter::green_box_3_25pct | L2=green_box_quarter::green_box_2_75pct | L3=green_box_midline::green_mid_2 | L4=red_box_midline::red_mid_1 | L5=prior_hlc::previous_mid | L6=prior_range_fraction::prev_range_0.333333 | L7=green_box_quarter::green_box_1_25pct | L8=red_box_quarter::red_box_2_75pct | L9=red_box_edge::red_edge_2 | L10=red_box_midline::red_mid_3 | L11=red_box_quarter::red_box_3_75pct | L12=red_box_edge::red_edge_3 | L13=red_box_midline::red_mid_4,L1=green_box_quarter | L2=green_box_quarter | L3=green_box_midline | L4=red_box_midline | L5=prior_hlc | L6=prior_range_fraction | L7=green_box_quarter | L8=red_box_quarter | L9=red_box_edge | L10=red_box_midline | L11=red_box_quarter | L12=red_box_edge | L13=red_box_midline,L1=green | L2=green | L3=green | L4=red | L5=neutral | L6=neutral | L7=green | L8=red | L9=red | L10=red | L11=red | L12=red | L13=red,L4=red_box_midline::red_mid_1 | L5=prior_hlc::previous_mid | L6=prior_range_fraction::prev_range_0.333333 | L7=green_box_quarter::green_box_1_25pct,L4=red_box_midline | L5=prior_hlc | L6=prior_range_fraction | L7=green_box_quarter,2.380027,100.0,100.0,BOX_INTERNAL_TEMPLATE,f1abec446c,314667214d,9828a96244,838c00eede,,,,
2025-10-22,12,6.005049,7.905954,18.0375,8.333333,8.333333,41.666667,41.666667,58.333333,prior_range_fraction,5,1,3,3,L1=red_box_quarter::red_box_1_25pct | L2=prior_range_fraction::prev_range_0.75 | L3=prior_range_fraction::prev_range_0.666667 | L4=green_box_edge::green_edge_1 | L5=red_box_edge::red_edge_1 | L6=prior_range_fraction::prev_range_0.333333 | L7=prior_range_fraction::prev_range_0.25 | L8=prior_range_fraction::prev_range_0.125 | L9=prior_hlc::previous_low | L10=red_box_edge::red_edge_2 | L11=red_box_quarter::red_box_3_25pct | L12=red_box_midline::red_mid_3,L1=red_box_quarter | L2=prior_range_fraction | L3=prior_range_fraction | L4=green_box_edge | L5=red_box_edge | L6=prior_range_fraction | L7=prior_range_fraction | L8=prior_range_fraction | L9=prior_hlc | L10=red_box_edge | L11=red_box_quarter | L12=red_box_midline,L1=red | L2=neutral | L3=neutral | L4=green | L5=red | L6=neutral | L7=neutral | L8=neutral | L9=neutral | L10=red | L11=red | L12=red,L4=green_box_edge::green_edge_1 | L5=red_box_edge::red_edge_1 | L6=prior_range_fraction::prev_range_0.333333 | L7=prior_range_fraction::prev_range_0.25,L4=green_box_edge | L5=red_box_edge | L6=prior_range_fraction | L7=prior_range_fraction,2.502549,75.0,75.0,PRIOR_RANGE_FRACTION_TEMPLATE,be04ca67b9,0ec819a10e,c158e5dbe3,7e10a54925,,,,
2025-10-23,10,3.08008,4.548766,9.92875,20.0,30.0,50.0,60.0,100.0,green_box_quarter,1,0,8,1,L1=green_box_quarter::green_box_3_75pct | L2=green_box_midline::green_mid_3 | L3=green_box_quarter::green_box_3_25pct | L4=green_box_quarter::green_box_2_75pct | L5=green_box_midline::green_mid_2 | L6=prior_range_fraction::prev_range_0.618 | L7=red_box_edge::red_edge_1 | L8=green_box_quarter::green_box_1_25pct | L9=red_box_quarter::red_box_2_75pct | L10=red_box_quarter::red_box_3_25pct,L1=green_box_quarter | L2=green_box_midline | L3=green_box_quarter | L4=green_box_quarter | L5=green_box_midline | L6=prior_range_fraction | L7=red_box_edge | L8=green_box_quarter | L9=red_box_quarter | L10=red_box_quarter,L1=green | L2=green | L3=green | L4=green | L5=green | L6=neutral | L7=red | L8=green | L9=red | L10=red,L4=green_box_quarter::green_box_2_75pct | L5=green_box_midline::green_mid_2 | L6=prior_range_fraction::prev_range_0.618 | L7=red_box_edge::red_edge_1,L4=green_box_quarter | L5=green_box_midline | L6=prior_range_fraction | L7=red_box_edge,3.08008,50.0,75.0,BOX_INTERNAL_TEMPLATE,9a69c1ff07,0e2c8d55aa,aa1be42afe,5e53b26bb9,T_focus_l4_l7_family_5e53b26b,BOX_INTERNAL_TEMPLATE,45.519907,3.0
2025-10-24,10,4.369375,3.638416,6.055,20.0,30.0,30.0,70.0,100.0,green_box_quarter,2,0,7,1,L1=green_box_midline::green_mid_4 | L2=green_box_edge::green_edge_3 | L3=green_box_quarter::green_box_3_25pct | L4=green_box_quarter::green_box_2_75pct | L5=prior_range_fraction::prev_range_0.75 | L6=prior_range_fraction::prev_range_0.382 | L7=red_box_midline::red_mid_2 | L8=red_box_quarter::red_box_3_25pct | L9=red_box_quarter::red_box_3_75pct | L10=red_box_midline::red_mid_4,L1=green_box_midline | L2=green_box_edge | L3=green_box_quarter | L4=green_box_quarter | L5=prior_range_fraction | L6=prior_range_fraction | L7=red_box_midline | L8=red_box_quarter | L9=red_box_quarter | L10=red_box_midline,L1=green | L2=green | L3=green | L4=green | L5=neutral | L6=neutral | L7=red | L8=red | L9=red | L10=red,L4=green_box_quarter::green_box_2_75pct | L5=prior_range_fraction::prev_range_0.75 | L6=prior_range_fraction::prev_range_0.382 | L7=red_box_midline::red_mid_2,L4=green_box_quarter | L5=prior_range_fraction | L6=prior_range_fraction | L7=red_box_midline,2.413125,50.0,100.0,BOX_INTERNAL_TEMPLATE,e4c2d4cf5f,943aa6e825,179a4a8594,11495841ba,,,,
2025-10-27,10,3.8725,4.0165,7.99625,10.0,30.0,50.0,50.0,100.0,green_box_midline,1,0,6,3,L1=green_box_midline::green_mid_4 | L2=green_box_edge::green_edge_3 | L3=green_box_midline::green_mid_3 | L4=green_box_quarter::green_box_2_75pct | L5=red_box_quarter::red_box_1_25pct | L6=green_box_quarter::green_box_1_75pct | L7=prior_range_fraction::prev_range_0.125 | L8=red_box_edge::red_edge_2 | L9=red_box_midline::red_mid_3 | L10=red_box_edge::red_edge_3,L1=green_box_midline | L2=green_box_edge | L3=green_box_midline | L4=green_box_quarter | L5=red_box_quarter | L6=green_box_quarter | L7=prior_range_fraction | L8=red_box_edge | L9=red_box_midline | L10=red_box_edge,L1=green | L2=green | L3=green | L4=green | L5=red | L6=green | L7=neutral | L8=red | L9=red | L10=red,L4=green_box_quarter::green_box_2_75pct | L5=red_box_quarter::red_box_1_25pct | L6=green_box_quarter::green_box_1_75pct | L7=prior_range_fraction::prev_range_0.125,L4=green_box_quarter | L5=red_box_quarter | L6=green_box_quarter | L7=prior_range_fraction,1.2125,75.0,75.0,BOX_INTERNAL_TEMPLATE,9f7079a8cf,cd870c5b93,8b42e54ca5,973715c04c,,,,
2025-10-28,13,2.86848,4.034883,9.805,15.384615,38.461538,53.846154,61.538462,100.0,red_box_quarter,3,0,7,3,L1=green_box_quarter::green_box_4_25pct | L2=green_box_quarter::green_box_3_75pct | L3=green_box_quarter::green_box_3_25pct | L4=green_box_edge::green_edge_2 | L5=prior_range_fraction::prev_range_0.875 | L6=prior_range_fraction::prev_range_0.618 | L7=red_box_edge::red_edge_1 | L8=prior_range_fraction::prev_range_0.125 | L9=red_box_edge::red_edge_2 | L10=red_box_quarter::red_box_3_25pct | L11=red_box_quarter::red_box_3_75pct | L12=red_box_quarter::red_box_4_25pct | L13=red_box_quarter::red_box_4_75pct,L1=green_box_quarter | L2=green_box_quarter | L3=green_box_quarter | L4=green_box_edge | L5=prior_range_fraction | L6=prior_range_fraction | L7=red_box_edge | L8=prior_range_fraction | L9=red_box_edge | L10=red_box_quarter | L11=red_box_quarter | L12=red_box_quarter | L13=red_box_quarter,L1=green | L2=green | L3=green | L4=green | L5=neutral | L6=neutral | L7=red | L8=neutral | L9=red | L10=red | L11=red | L12=red | L13=red,L4=green_box_edge::green_edge_2 | L5=prior_range_fraction::prev_range_0.875 | L6=prior_range_fraction::prev_range_0.618 | L7=red_box_edge::red_edge_1,L4=green_box_edge | L5=prior_range_fraction | L6=prior_range_fraction | L7=red_box_edge,1.50424,75.0,75.0,BOX_INTERNAL_TEMPLATE,5dd870914c,1668b98a87,479f8e019a,6d46a85466,,,,
2025-10-29,10,2.40375,2.4515,6.21,40.0,50.0,60.0,90.0,100.0,green_box_quarter,0,1,7,2,L1=green_box_quarter::green_box_4_25pct | L2=green_box_quarter::green_box_3_75pct | L3=green_box_midline::green_mid_3 | L4=green_box_edge::green_edge_2 | L5=prior_hlc::previous_high | L6=green_box_quarter::green_box_2_25pct | L7=red_box_quarter::red_box_1_75pct | L8=green_box_midline::green_mid_1 | L9=red_box_midline::red_mid_2 | L10=red_box_edge::red_edge_2,L1=green_box_quarter | L2=green_box_quarter | L3=green_box_midline | L4=green_box_edge | L5=prior_hlc | L6=green_box_quarter | L7=red_box_quarter | L8=green_box_midline | L9=red_box_midline | L10=red_box_edge,L1=green | L2=green | L3=green | L4=green | L5=neutral | L6=green | L7=red | L8=green | L9=red | L10=red,L4=green_box_edge::green_edge_2 | L5=prior_hlc::previous_high | L6=green_box_quarter::green_box_2_25pct | L7=red_box_quarter::red_box_1_75pct,L4=green_box_edge | L5=prior_hlc | L6=green_box_quarter | L7=red_box_quarter,1.41125,75.0,100.0,BOX_INTERNAL_TEMPLATE,55e9e3cb30,7fe0994fcf,96b4100dc4,d52718623e,T_focus_l4_l7_family_d5271862,BOX_INTERNAL_TEMPLATE,60.391903,2.0
