candidate_type,level_name,best_anchor_family,best_anchor_name,rows,date_count,median_abs_distance,mean_abs_distance,pct_within_1,pct_within_2,pct_within_3,pct_within_5,pct_within_10,signed_distance_median,signed_distance_mean,formula_fingerprint_score,candidate_label
l4_l7_anchor,L5,green_box_midline,green_mid_2,13,13,2.305,2.890962,15.384615,46.153846,69.230769,76.923077,100.0,1.53,0.4475,70.922115,L5 -> green_box_midline::green_mid_2
l4_l7_anchor,L5,red_box_midline,red_mid_2,6,6,2.44375,3.344167,16.666667,33.333333,66.666667,83.333333,100.0,2.44375,2.7225,70.323958,L5 -> red_box_midline::red_mid_2
l4_l7_anchor,L6,prior_range_fraction,prev_range_0.618,8,8,2.88487,2.689988,12.5,25.0,62.5,87.5,100.0,-0.71423,-0.336338,68.587825,L6 -> prior_range_fraction::prev_range_0.618
l4_l7_anchor,L7,red_box_midline,red_mid_3,6,6,2.29375,2.222917,33.333333,50.0,50.0,100.0,100.0,0.81625,0.497917,67.365625,L7 -> red_box_midline::red_mid_3
l4_l7_anchor,L5,green_box_quarter,green_box_2_75pct,7,7,2.7625,3.333036,0.0,28.571429,57.142857,85.714286,100.0,1.02,0.75625,65.936607,L5 -> green_box_quarter::green_box_2_75pct
l4_l7_anchor,L4,prior_hlc,previous_mid,5,5,2.71,2.624,20.0,40.0,60.0,80.0,100.0,2.71,2.098,65.725,L4 -> prior_hlc::previous_mid
l4_l7_anchor,L6,prior_hlc,previous_low,12,12,1.545,3.883333,16.666667,58.333333,58.333333,66.666667,91.666667,0.41,0.003333,65.254167,L6 -> prior_hlc::previous_low
l4_l7_anchor,L7,prior_hlc,previous_low,13,13,1.99,4.27,7.692308,53.846154,61.538462,61.538462,84.615385,-1.14,-1.196154,64.401923,L7 -> prior_hlc::previous_low
l4_l7_anchor,L7,red_box_midline,red_mid_2,10,10,3.23375,4.10475,10.0,40.0,50.0,80.0,80.0,0.94625,1.39225,60.415625,L7 -> red_box_midline::red_mid_2
l4_l7_anchor,L4,green_box_quarter,green_box_3_25pct,11,11,2.7525,3.757841,27.272727,36.363636,54.545455,63.636364,100.0,-0.55875,-1.276705,59.673295,L4 -> green_box_quarter::green_box_3_25pct
l4_l7_anchor,L7,red_box_edge,red_edge_2,31,31,3.17,3.616774,12.903226,29.032258,48.387097,67.741935,100.0,-0.05,0.864516,58.884677,L7 -> red_box_edge::red_edge_2
l4_l7_anchor,L7,red_box_quarter,red_box_2_75pct,19,19,3.07375,4.120263,15.789474,31.578947,47.368421,63.157895,94.736842,-0.65125,-1.57,56.320888,L7 -> red_box_quarter::red_box_2_75pct
l4_l7_anchor,L6,red_box_edge,red_edge_2,8,8,3.12,3.88875,12.5,12.5,50.0,62.5,100.0,1.635,1.10875,56.125,L6 -> red_box_edge::red_edge_2
l4_l7_anchor,L4,green_box_quarter,green_box_2_75pct,18,18,3.360625,3.794861,16.666667,44.444444,44.444444,61.111111,100.0,1.388125,1.579861,53.676215,L4 -> green_box_quarter::green_box_2_75pct
l4_l7_anchor,L5,prior_hlc,previous_high,8,8,3.52,3.16,12.5,25.0,25.0,100.0,100.0,1.485,0.6275,53.25,L5 -> prior_hlc::previous_high
l4_l7_anchor,L7,red_box_quarter,red_box_3_25pct,14,14,3.696875,3.735179,21.428571,28.571429,42.857143,57.142857,100.0,1.83875,1.309643,50.729241,L7 -> red_box_quarter::red_box_3_25pct
l4_l7_anchor,L6,red_box_quarter,red_box_2_75pct,14,14,4.743125,3.634732,28.571429,35.714286,35.714286,57.142857,100.0,-2.239375,-1.737411,44.89933,L6 -> red_box_quarter::red_box_2_75pct
l4_l7_anchor,L5,green_box_edge,green_edge_2,5,5,3.35,5.254,20.0,20.0,20.0,60.0,80.0,-3.35,-0.758,41.125,L5 -> green_box_edge::green_edge_2
l4_l7_anchor,L4,green_box_midline,green_mid_3,5,5,5.16,4.353,0.0,20.0,40.0,40.0,100.0,-5.16,-2.928,40.6,L4 -> green_box_midline::green_mid_3
l4_l7_anchor,L4,green_box_edge,green_edge_2,17,17,5.66,5.673529,5.882353,11.764706,17.647059,41.176471,88.235294,-4.93,-3.587647,30.785294,L4 -> green_box_edge::green_edge_2
